pub-uid	pub-full	abstract	key-au	key-pub
10.1038_s41598_017_17705_3	Culture and Next-generation sequencing-based drug susceptibility testing unveil high levels of drug-resistant-TB in Djibouti: results from the first national survey	Djibouti is a small country in the Horn of Africa with a high TB incidence (378/100,000 in 2015). Multidrug-resistant TB (MDR-TB) and resistance to second-line agents have been previously identified in the country but the extent of the problem has yet to be quantified. A national survey was conducted to estimate the proportion of MDR-TB among a representative sample of TB patients. Sputum was tested using XpertMTB/RIF and samples positive for MTB and resistant to rifampicin underwent first line phenotypic susceptibility testing. The TB supranational reference laboratory in Milan, Italy, undertook external quality assurance, genotypic testing based on whole genome and targeted-deep sequencing and phylogenetic studies. 301 new and 66 previously treated TB cases were enrolled. MDR-TB was detected in 34 patients: 4.7% of new and 31% of previously treated cases. Resistance to pyrazinamide, aminoglycosides and capreomycin was detected in 68%, 18% and 29% of MDR-TB strains respectively, while resistance to fluoroquinolones was not detected. Cluster analysis identified transmission of MDR-TB as a critical factor fostering drug resistance in the country. Levels of MDR-TB in Djibouti are among the highest on the African continent. High prevalence of resistance to pyrazinamide and second-line injectable agents have important implications for treatment regimens.		TUBERCULOSIS COMPLEX STRAINS; MYCOBACTERIUM-TUBERCULOSIS; TREATMENT OUTCOMES; SURVEILLANCE; PYRAZINAMIDE; TOOL; MUTATION
10.3389_fmicb.2017.02452	Repurposing and Revival of the Drugs: A New Approach to Combat the Drug Resistant Tuberculosis	Emergence of drug resistant tuberculosis like multi drug resistant tuberculosis (MDR-TB), extensively drug-resistant tuberculosis (XDR-TB) and totally drug resistant tuberculosis (TDR-TB) has created a new challenge to fight against these bad bugs of Mycobacterium tuberculosis. Repurposing and revival of the drugs are the new trends/options to combat these worsen situations of tuberculosis in the antibiotics resistance era or in the situation of global emergency. Bactericidal and synergistic effect of repurposed/revived drugs along with the latest drugs bedaquiline and delamanid used in the treatment of MDR-TB, XDR-TB, and TDR-TB might be the choice for future promising combinatorial chemotherapy against these bad bugs.	drug resistance tuberculosis; repurposing; revival of drugs; synergistic effect; proteomics and bioinformatics	MYCOBACTERIUM-TUBERCULOSIS; MULTIDRUG-RESISTANT; PROTEOMIC ANALYSIS; IN-VITRO; ADJUNCTIVE THERAPY; CLOFAZIMINE; KANAMYCIN; AMIKACIN; TB; SUSCEPTIBILITY
10.1007_s15010_017_1054_8	Outcomes of multidrug-resistant tuberculosis in Zambia: a cohort analysis	The purpose of this study was to establish a baseline for measuring the impact of the programmatic management of drug-resistant TB program by following up on outcomes of all patients diagnosed with multidrug-resistant tuberculosis in Zambia between 2012 and 2014. A cohort study of all the MDR-TB patients diagnosed at the national TB reference laboratory from across Zambia. MDR-TB was diagnosed by culture and DST, whereas outcome data were collected in 2015 by patient record checks and home visits. The total number of patients diagnosed was 258. Of those, 110 (42.6%) patients were traceable for this study. There were 67 survivor participants (60.9%); 43 (39.1%) were deceased. Out of the 110 patients who were traced, only 71 (64.5%) were started on second-line treatment. Twenty-nine (40.8%) patients were declared cured and 16.9% were still on treatment; 8.4% had failed treatment. The survival rate was 20.2 per 100 person-years of follow-up. Taking ARVs was associated with a decreased risk of dying (hazard ratio 0.12, p = 0.002). Sex, age, marital status and treatment category were not important predictors of survival in MDR-TB patients. More than half of the patients diagnosed with MDR-TB were lost to follow-up before second-line treatment was initiated.	Zambia; Tuberculosis; MDR-TB; Drug resistance; Treatment outcome	HIGH TREATMENT SUCCESS; SOUTH-AFRICA; MDR-TB; OBSERVATIONAL COHORT; DRUG-RESISTANCE; FOLLOW-UP; HIV; METAANALYSIS; CHILDREN; DEFAULT
10.1016_j.jgar.2017.07.002	Extensively drug-resistant tuberculosis (XDR-TB) in Morocco	Objectives: Extensively drug-resistant tuberculosis (XDR-TB) has recently been identified as a major global health threat. The aim of this study was to evaluate the presence of XDR-TB among Mycobacterium tuberculosis isolates in Morocco and its association with demographic, clinical and epidemiological features. Methods: A total of 524 patients from the Moroccan National Tuberculosis Reference Laboratory, representative of all of the geographic regions, were subject to first-line drug susceptibility testing (DST). Subsequently, 155 isolates found to be multidrug-resistant tuberculosis (MDR-TB) underwent second-line DST. Moreover, to enhance our understanding of the genetic basis of these drug-resistant strains, drug resistance-associated mutations were investigated in isolates either identified as pre-XDR- and XDR-TB or suspected resistant using the GenoType (R) MTBDRsl V1.0 assay. Results: In this study, 4 (2.6%) XDR-TB and 18 (11.6%) pre-XDR-TB isolates were identified. Agreement between the MTBDRsl assay results and phenotypic DST was 95.2% for ofloxacin, 81.0% for kanamycin and 95.2% for amikacin. Conclusions: To the best of our knowledge, this is the first study to evaluate the frequency of XDR-TB in Morocco. These results highlight the need to reinforce the TB management policy in Morocco with regard to control and detection strategies in order to prevent further spread of XDR-TB isolates. (C) 2017 Published by Elsevier Ltd on behalf of International Society for Chemotherapy of Infection and Cancer.	Mycobacterium tuberculosis; MDR-TB; XDR-TB; GenoType MTBDRsl; Morocco	MYCOBACTERIUM-TUBERCULOSIS; ETHAMBUTOL RESISTANCE; MTBDRSL ASSAY; SENSITIVITY; MECHANISMS
10.1016_j.ijid.2017.09.019	Trends and characteristics of drug-resistant tuberculosis in rural Shandong, China	Objectives: The aim of this study was to describe the secular trends in drug-resistant tuberculosis (DR-TB) and to identify unique characteristics of multidrug-resistant tuberculosis (MDR-TB) in rural China. Methods: A retrospective study was conducted using TB data collected from 36 TB prevention and control institutions serving rural populations in Shandong Province, China, for the period 2006-2015. Results: Approximately 8.3% of patients suffered from MDR-TB, among whom 70% were newly treated patients; this rate increased by 1.3% annually during the 10-year study period. An increase in the percentage of overall first-line drug resistance against isoniazid, rifampicin, ethambutol, and streptomycin was confirmed (p < 0.05). The percentage of MDR-TB in new and previously treated cases increased at yearly rates of 9.9% and 11.1%, respectively. MDR-TB patients were more likely to be female (odds ratio (OR) 1.58, 95% confidence interval (CI) 1.32-1.89), smokers (OR 1.75, 95% CI 1.47-2.07), to have had recent TB contact (OR 1.58, 95% CI 1.04-2.42), or to have been retreated (OR 2.89, 95% CI 2.46-3.41). Conclusions: Increasing MDR-TB and rates of primary MDR-TB characterize DR-TB cases in rural China. Persistent efforts need to be made among MDR-TB patients in future TB control strategies. (C) 2017 Published by Elsevier Ltd on behalf of International Society for Infectious Diseases.	Multidrug-resistant tuberculosis; Primary transmission; Rural; Epidemiology	HIV-INFECTED PATIENTS; RISK-FACTORS; TREATMENT OUTCOMES; FINANCIAL BURDEN; CARE; PREVALENCE; POPULATION; CHALLENGES; DIAGNOSIS; AFRICA
10.1016_j.ijid.2017.10.013	Treatment outcomes of rifabutin-containing regimens for rifabutin-sensitive multidrug-resistant pulmonary tuberculosis	Objectives: The aim of this study was to evaluate whether rifabutin can improve treatment outcomes in patients with rifabutin-sensitive MDR-TB. Methods: A retrospective cohort study was performed on 76 patients with rifabutin-sensitive MDR-TB who were treated with or without rifabutin between 2006 and 2011. Results: Overall, 75% (57/76) of patients achieved favorable outcomes, including cure (53/76, 70%) and treatment completion (4/76, 5%). In contrast, 25% (19/76) had unfavorable treatment outcomes, which included treatment failure (6/76, 8%), death (2/76, 3%), loss to follow-up (4/76. 5%), and no evaluation due to transfer to other institutions (7/76, 9%). Rifabutin was given to 52 (68%) of the 76 patients with rifabutin-sensitive MDR-TB. Although favorable treatment outcomes were more frequent in patients who received rifabutin [81% (42/52)] than in those who did not receive rifabutin [63% (15/24)], this difference was not statistically significant (P = 0.154). However, in multivariable regression logistic analysis, use of rifabutin was significantly associated with favorable treatment outcomes in patients with rifabutin-sensitive MDR-TB (adjusted odds ratio = 9.80, 95% confidence interval = 1.65-58.37, P = 0.012). Conclusions: These results suggest that the use of rifabutin can improve treatment outcomes in patients with rifabutin-sensitive MDR-TB. (C) 2017 The Author(s). Published by Elsevier Ltd on behalf of International Society for Infectious Diseases.	Multidrug-resistant tuberculosis; Extensively drug-resistant tuberculosis; Rifabutin; Treatment outcome	IN-VITRO ACTIVITY; GROUP 5 DRUGS; MYCOBACTERIUM-TUBERCULOSIS; RPOB MUTATIONS; CROSS-RESISTANCE; RIFAMPIN; COMPLEX; EFFICACY; STRAINS; TAIWAN
10.1007_s11094_017_1690_4	Tuberculostatic Activity of 2-Amino-6-Chloropurine Derivatives	Studies of the antimycobacterial activity of 2-amino-6-chloropurine and its N-acyl derivatives against laboratory (Mycobacterium tuberculosis H37Rv, M. avium, M. terrae) and clinical Mycobacterium tuberculosis strains (MDR-TB) identified compounds with high tuberculostatic activity (MIC from 0.35 - 1.5 mu g/ml). The cytotoxic activities of the compounds with antimycobacterial activity against human embryo fibroblasts were studied in the MTT test, which showed that the study compounds were essentially nontoxic (IC50 > 50 mu M). Further chemical modification may yield compounds with potential for creating drugs for the treatment of tuberculosis. With the aim of identifying the possible mechanism of the tuberculostatic activity, the ability of the study compounds to inhibit mycobacterial serine-threonine protein kinases (STPK) was assessed. The tuberculostatic activity of 2-amino-6-chloropurine derivatives was not linked with their inhibition of STPK.	purines; tuberculostatic activity; protein kinases	ANTIMYCOBACTERIAL ACTIVITY; ANALOGS; PURINES; INHIBITORS; AGELASINE; TARGETS
10.5588_ijtld.16.0953	Renal function of MDR-TB patients treated with kanamycin regimens or concomitantly with antiretroviral agents	SETTING: To compare renal insufficiency among multidrug-resistant tuberculosis (MDR-TB) patients treated with kanamycin (KM) based regimens and those treated concomitantly with tenofovir disoproxil fumarate (TDF) or other antiretroviral therapy (ART) regimens in Namibia. DESIGN: Retrospective review of the treatment records and laboratory tests of patients initiated on MDR-TB treatment (January-December 2014). The glomerular filtration rates (eGFR) estimated pre-and post-treatment were compared using the analysis of variance test. Renal insufficiency was defined as an eGFR of,60 ml/min/1.73 m(2). Use of KM or TDF and association with renal insufficiency was assessed using Kaplan-Meier plots and Cox proportional hazards analysis. RESULTS: The baseline mean eGFR for the three groups was similar (P = 0.24): 139.3 6 25.6 ml/min for the KM group (n = 68), 131.1 6 25.7 ml/min for the KM+TDF group (n = 44) and 134.2634.4 ml/min for the KM+Other group (n = 23). After 8 months, the values had declined significantly to respectively 104.8 +/- 37.5 ml/min (P < 0.001), 101.5 6 38.3 ml/min (P < 0.001) and 111.5 6 41.7 ml/min (P = 0.01). Co-treatment with KM+ARTwas associated with an increased risk of renal insufficiency (hazard ratio [HR] 1.8, 95% CI 0.7-4.1, P = 0.20 for KM+TDF, and HR 3.5, 95% CI 1.4-8.2, P = 0.005 for KM+Other ART). CONCLUSION: Renal function declined at a similar rate in MDR-TB patients treated with KM-based regimens compared with patients treated concomitantly with TDF-based or other ART. The risk of renal insufficiency was greater for patients on ART.	nephrotoxicity; TB-HIV co-infection; aminoglycosides; nucleoside reverse transcriptase inhibitors; Namibia	INDUCED NEPHROTOXICITY; INDUCED NEPHROPATHY; INFECTED PATIENTS; FANCONI-SYNDROME; HIV; TENOFOVIR; TUBERCULOSIS; AMINOGLYCOSIDES; THERAPY
10.1093_jac_dkx316	Identification of novel mutations associated with cycloserine resistance in Mycobacterium tuberculosis	Objectives: D-Cycloserine is an important second-line drug used to treat MDR- and XDR-TB. However, the mechanisms of resistance to D-cycloserine are not well understood. Here we investigated the molecular basis of D-cycloserine resistance using in vitro-isolated resistant mutants. Methods: Mycobacterium tuberculosis H37Rv was subjected to mutant selection on 7H11 agar plates containing varying concentrations of D-cycloserine. A total of 18 D-cycloserine-resistant mutants were isolated and subjected to WGS. The identified mutations associated with D-cycloserine resistance were confirmed by PCR and Sanger sequencing. Results: We identified mutations in 16 genes that are associated with D-cycloserine resistance. Interestingly, we found mutations only in alr (rv3423c) encoding alanine racemase, but not in other known D-cycloserine resistance-associated genes such as ddl, cycA or ald. Instead, we identified 13 new genes [rv0059, betP (rv0917), rv0221, rv1403c, rv1683, rv1726, gabD2 (rv1731), rv2749, sugI (rv3331), hisC2 (rv3772), the 50 intergenic region of rv3345c and rv1435c, and the 30 region of rv0759c] that had solo mutations associated with D-cycloserine resistance. Our findings indicate that the mechanisms of D-cycloserine resistance are more complex than previously thought and involve genes participating in different cellular functions such as lipid metabolism, methyltransferase, the stress response and transport systems. Conclusions: New mutations in diverse genes associated with D-cycloserine resistance have been identified that shed new light on the mechanisms of action and resistance of D-cycloserine. Future studies are needed to verify these findings in clinical strains so that molecular detection of D-cycloserine resistance for improved treatment of MDR-TB can be developed.		ALANINED-ALANINE LIGASE; ESCHERICHIA-COLI; RACEMASE; SMEGMATIS; MUTANTS; TARGET; MECHANISMS; TRANSPORT
10.1016_j.jgar.2017.06.010	Distribution scheme of antituberculosis drug resistance among HIV patients in a referral centre over 10 years	Objectives: Antituberculosis drug resistance is increasing among tuberculosis (TB) patients globally, particularly in those who are human immunodeficiency virus (HIV)-positive. The aim of this study was to determine the pattern of anti-TB drug resistance in these patients in an effort to improve successful treatment outcomes with a proper regimen. Methods: A cross-sectional study was conducted on adult TB/HIV co-infected patients from 2005-2015. The pattern of anti-TB drug resistance was evaluated among HIV-positive patients with and without a history of TB treatment. Categorisation was made as follows: isoniazid (INH)-resistant; rifampicin (RIF)resistant; or multidrug-resistant (MDR). Results: A total of 52 patients were enrolled in this study (median age 38 years). Among the 52 patients, 18 (34.6%) were MDR-TB patients and the rest were monoresistant TB (resistant either to INH or RIF). INH resistance was the most common resistance pattern (36.5%) noted among patients and was significantly associated with new TB cases (69% vs. 31%; P = 0.01). During TB treatment, 3/48 patients (6.3%) failed treatment and 11/48 (22.9%) died. Patients with MDR-TB were more likely to die during treatment (44.4% vs. 10%; P = 0.011). Conclusions: Any drug resistance in previously treated TB cases among HIV-infected patients remains high. The risk of death is increasing in MDR-TB/HIV co-infected patients. (C) 2017 Published by Elsevier Ltd on behalf of International Society for Chemotherapy of Infection and Cancer.	Tuberculosis; HIV; Drug resistance; Multidrug-resistant; Death; Outcome	TUBERCULOSIS; INFECTION; TB
